date,value
1-May-10,0.000432299
1-Jun-10,0.000678085
1-Jul-10,0.000790163
1-Aug-10,0.001009418
1-Sep-10,0.001293289
1-Oct-10,0.00238387
1-Nov-10,0.003313303
1-Dec-10,0.004158783
1-Jan-11,0.009118885
1-Feb-11,0.010080792
1-Mar-11,0.013727167
1-Apr-11,0.022828118
1-May-11,0.024867627
1-Jun-11,0.19306092
1-Jul-11,0.11976392
1-Aug-11,0.141671574
1-Sep-11,0.420072158
1-Oct-11,0.673149806
1-Nov-11,0.90358387
1-Dec-11,1.145130805
1-Jan-12,1.374514133
1-Feb-12,1.406743932
1-Mar-12,1.513528507
1-Apr-12,1.753164142
1-May-12,2.191861837
1-Jun-12,2.336400746
1-Jul-12,2.091389679
1-Aug-12,2.430704741
1-Sep-12,2.560521196
1-Oct-12,2.81509451
1-Nov-12,2.254813259
1-Dec-12,2.643190017
1-Jan-13,2.591683194
1-Feb-13,2.631525843
1-Mar-13,3.779137621
1-Apr-13,3.696945708
1-May-13,1.808649151
1-Jun-13,6.374130869
1-Jul-13,6.09646434
1-Aug-13,7.390742768
1-Sep-13,7.967174637
1-Oct-13,6.992204754
1-Nov-13,6.993357
