date,value
1-Sep-10,116
1-Oct-10,4636
1-Nov-10,4781
1-Dec-10,8806
1-Jan-11,25340
1-Feb-11,40985
1-Mar-11,17291
1-Apr-11,20376
1-May-11,29513
1-Jun-11,194791
1-Jul-11,91239
1-Aug-11,91760
1-Sep-11,137038
1-Oct-11,110188
1-Nov-11,84807
1-Dec-11,81437
1-Jan-12,106925
1-Feb-12,128864
1-Mar-12,162393
1-Apr-12,132877
1-May-12,105203
1-Jun-12,99601
1-Jul-12,93876
1-Aug-12,220174
1-Sep-12,241273
1-Oct-12,132405
1-Nov-12,194153
1-Dec-12,158372
1-Jan-13,186587
1-Feb-13,180627
1-Mar-13,209467
1-Apr-13,231491
1-May-13,228729
1-Jun-13,219572
1-Jul-13,238189
1-Aug-13,226146
1-Sep-13,219825
1-Oct-13,3074165
1-Nov-13,4245359
1-Dec-13,5395290
